Best,Active,Candidate
560920200,1035598400,1035598400
560920200,1399622800,1399622800
560920200,1450431700,1450431700
560920200,2246618000,2246618000
560920200,2277194800,2277194800
560920200,1228541800,1228541800
560860160,1647681000,1647681000
560860160,1261586200,1261586200
560860160,987578900,987578900
560860160,1173382700,1173382700
560860160,1960684900,1960684900
560860160,1036008800,1036008800
560860160,1450117600,1450117600
560860160,2210112800,2210112800
560860160,1307934200,1307934200
560860160,992972800,992972800
560860160,1335686800,1335686800
560860160,1105804700,1105804700
560860160,1164191900,1164191900
560860160,1131955700,1131955700
560860160,1107243600,1107243600
560860160,1187957800,1187957800
560860160,1021804800,1021804800
560860160,1132038800,1132038800
560860160,982222400,982222400
560860160,1909688700,1909688700
560860160,2209530400,2209530400
560860160,1035326900,1035326900
